,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
0,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
1,みきおとみきお/みきおとミキオ,ふしこ えふ ふしお/藤子・F・不二雄,－,1977.05.15[1],1977.11.15,－
2,はけるくん/バケルくん,ふしこ えふ ふしお/藤子・F・不二雄,－,1977.05.15[1],1978.09.15,『別冊コロコロコミック』に移動
3,いなかつへたいしよう/いなかっぺ大将,かわさき のほる/川崎のぼる,－,1977.05.15[1],1979.03.15,『別冊コロコロコミック』に移動
4,りとるきよしんくん/リトル巨人くん,うちやま まもる/内山まもる,－,1977.05.15[1],1986.03,第1部は1979.07まで、1984.04より第2部開始
5,ふしこふしおものかたりはむさらたくん/藤子不二雄物語 ハムサラダくん,よした たたし/吉田忠,－,1977.05.15[1],1980.07,－
6,とらえもんひやつか/ドラえもん百科,かたくら ようし/方倉陽二,－,1977.05.15[1],1981.04,－
7,ふしこふしおのまんかにゆうもん/藤子不二雄のまんが入門,かたくら ようし/方倉陽二 →しのだひでお,－,1977.05.15[1],1987.10,－
8,とらえもん/ドラえもん,ふしこ えふ ふしお/藤子・F・不二雄,－,1977.05.15[1],1995.08,2002.03で再開を発表。
9,とつけきいつへいくん/突撃いっぺいくん,ひやくた やすたか/ひゃくた保孝,－,1977.08.15,1978.01.15,－
10,にほんとうふつき/日本動物記,いいもり こういち/飯森広一,－,1977.08.15,1978.09.15,－
11,ほらふきとんひんしやん/ほらふきドンビンシャン,しよおし あきやま/ジョージ秋山,－,1978.01.15,1979.01.15,－
12,かんはれとんへ/がんばれ!ドンベ,はしもと みつお/はしもとみつお,－,1978.01.15,1980.07,－
13,こりほんくん/ゴリポン君,きと たもつ/キド・タモツ,－,1978.01.15,1981.09,－
14,あかんへえ/アカンベー,かたくら ようし/方倉陽二,－,1978.01.15,1983.03,－
15,さむらいくん/サムライくん,ひやくた やすたか/ひゃくた保孝,－,1978.03.15,1978.07.15,－
16,さうるとらまん/ザ・ウルトラマン,うちやま まもる/内山まもる,－,1978.03.15,1978.11.15,－
17,ちやるめらほん/チャルメラ・ボン,みや のふなお/宮のぶなお,－,1978.05.15,1978.07.15,－
18,はあまん/パーマン,ふしこ えふ ふしお/藤子・F・不二雄,－,1978.05.15,1984.11,－
19,おはけのきゆうたろう/オバケのQ太郎,ふしこ ふしお/藤子不二雄,－,1978.07.15,1986.10,－
20,とんまい/どんまい,ろくた のほる/六田登,－,1978.09.15,1979.03.15,－
21,ふるてか/ブルデカ,はまた よしみ/はまだよしみ,－,1978.09.15,1979.06,－
22,にほんほすさるてんいしまつものかたり/日本ボスザル伝 石松物語,いいもり こういち/飯森広一,－,1978.11.15,1979.03.15,－
23,しやあまねくん/ジャーマネくん,みや のふなお/宮のぶなお,－,1978.11.15,1979.06,－
24,ふしこふしおにつき/フジコフジオ日記,たなか みちあき/田中道明,－,1978.11.15,1980.03,－
25,えふわんきつと/F・1キッド,すかや みつる/すがやみつる,－,1979.01.15,1979.09,－
26,けんかはんはん/ケンカばんばん,のむら しんほ/のむらしんぼ,－,1979.01.15,1979.10,－
27,しんうるとらきようたいものかたり/新・ウルトラ兄弟物語,かたおか てつし/かたおか徹治,－,1979.01.15,1979.10,－
28,やきゆうむさし/野球ムサシ,うちやま まもる/内山まもる,－,1979.04,1979.06,－
29,はなとりゆう/花と龍,かわさき のほる/川崎のぼる,－,1979.04,1979.07,－
30,みらくるわん/ミラ・クル・1,ふしこ えふ ふしお/藤子・F・不二雄,－,1979.04,1979.12,－
31,これからとうふつえん/これから動物園,いいもり こういち/飯森広一,－,1979.04,1980.03,－
32,おしやまゆうれいくん/おじゃまユーレイくん,よしかわ すすむ/よしかわ進,－,1979.05,1981.10,－
33,めいたんていかけまん/名たんていカゲマン,やまね あおおに/山根あおおに,－,1979.06,1981.08,－
34,けえむせんたああらし/ゲームセンターあらし,すかや みつる/すがやみつる,－,1979.08,1983.10,－
35,とらえもんととらみちやん/ドラえもんとドラミちゃん,ふしこ えふ ふしお/藤子・F・不二雄,－,1979.09,1979.10,－
36,もえろくろはん/燃えろ!クロパン,うちやま まもる/内山まもる,－,1979.09,1981.03,－
37,あさりちやん/あさりちゃん,むろやま まゆみ/室山まゆみ,－,1979.09,1982.03,－
38,とらみちやんひみつふつく/ドラミちゃん ひみつBOOK,かたくら ようし/方倉陽二,－,1979.10,1979.12,－
39,さこりら/ザ・ゴリラ,さかおか のほる/坂丘のぼる,－,1979.10,1982.12,－
40,そふいいのてんせつ/ゾフィーの伝説,かたおか てつし/かたおか徹治,－,1979.12,1980.01,－
41,きんめたるりきし/金メダル力士,かつき かすよし/勝木一嘉,－,1979.12,1980.01,－
42,とらえもんのひたのきようりゆう/ドラえもん のび太の恐竜,ふしこ ふしお/藤子不二雄,－,1980.01,1980.03,－
43,とんてけえあろ/飛んでけ!エアロ,たなか てつお/田仲哲雄,－,1980.01,1980.07,－
44,うるとらきようたいものかたり/ウルトラ大戦争,かたおか てつし/かたおか徹治,－,1980.02,1980.04,－
45,りんくまん/リングマン,はまた よしみ/はまだよしみ,－,1980.02,1980.04,－
46,ちひとん/チビドン,あかつか ふしお/赤塚不二夫,－,1980.02,1981.03,－
47,ととろけいちはん/とどろけ!一番,のむら しんほ/のむらしんぼ,－,1980.02,1983.05,－
48,うしおやし/ウシおやじ,ふくなか ひろ/福永ヒロ,－,1980.03,1980.05,－
49,かいふつくん/怪物くん,ふしこ ふしお/藤子不二雄,－,1980.04,1982.12,－
50,うるとらまん80/ウルトラマン80,かたおか てつし/かたおか徹治,－,1980.05,1980.10,－
51,とんまいきゆうた/ドンマイ球太,かいつか ひろし/貝塚ひろし,－,1980.07,1980.08,－
52,きんめたるまん/金メダルマン,かつき かすよし/勝木一嘉,－,1980.07,1983.04,－
53,すけほおやろうあほろ/スケボー野郎 アポロ,あいかわ てつや/愛川てつや,ふるさわ いつせい/古沢一誠,1980.09,1980.10,－
54,とらえもんのひたのうちゆうかいたくし/ドラえもん のび太の宇宙開拓史,ふしこ ふしお/藤子不二雄,－,1980.09,1981.03,－
55,しえつたあうるふ/ジェッターウルフ,たなか てつお/田仲哲雄,－,1980.09,1981.03,－
56,つりはかたいしよう/釣りバカ大将,おうた こさく/桜多吾作,－,1980.10,1983.08,『別冊コロコロコミック』に移動
57,そふいいのたたかい/ゾフィーの戦い,かたおか てつし/かたおか徹治,－,1980.11,1981.03,－
58,ろほつたくん/ロボッ太くん,とりい かすよし/とりいかずよし,－,1981.01,1984.03,－
59,かいふつくんかいふつらんとへのしようたい/怪物くん 怪物ランドへの招待,ふしこ ふしお/藤子不二雄,－,1981.01,1981.03,－
60,めいけんたまこう/迷犬タマ公,たなか みちあき/田中道明,－,1981.03,1982.09,－
61,はなのきくちよ/花の菊千代,あかつか ふしお/赤塚不二夫,－,1981.04,1982.03,－
62,むつころうかゆく/ムツゴロウが征く,かわさき のほる/川崎のぼる,はた まさのり/畑正憲,1981.04,1985.02,－
63,あはれはやふさ/あばれ!隼,みねきし とおる/峰岸とおる,ふるさわ いつせい/古沢一誠,1981.04,1985.08,－
64,かいふつくんひやつか/怪物くん百科,かたくら ようし/方倉陽二 →さいとうはるお,－,1981.05,1981.11,－
65,たむいしんま/タムイ・シンマ,はちの やすひこ/はちのやすひこ,－,1981.06,1982.03,－
66,にしゆういちえもん/21エモン,ふしこ えふ ふしお/藤子・F・不二雄,－,1981.07,1981.08,－
67,とらえもんのひたのたいまきよう/ドラえもん のび太の大魔境,ふしこ ふしお/藤子不二雄,－,1981.09,1982.02,－
68,にんしやはつとりくん/忍者ハットリくん,ふしこ ふしお ええ/藤子不二雄Ⓐ,－,1981.10,1988.05,－
69,ちようしんきんたまん/超人キンタマン,たていし けいた/立石佳太,－,1981.11,1987.12,－
70,あいらふせんせい/愛ラブ先生,せん きよし/ぜんきよし,－,1981.12,1983.03,－
71,かいふつくんてえもんのけん/怪物くん デーモンの剣,ふしこ ふしお/藤子不二雄,－,1982.01,1982.03,－
72,はんはかはあると/パンパカパールド,さいとう えいいち/斉藤栄一,－,1982.04,1982.08,－
73,てつせんしむさし/鉄戦士ムサシ,なかい こう/永井豪,－,1982.04,1983.03,－
74,とらえもんのひたのかいていかんきしよう/ドラえもん のび太の海底鬼岩城,ふしこ ふしお/藤子不二雄,－,1982.08,1983.02,－
75,ふろれすつここんく/ぷろれすっ子ゴング,さいとう えいいち/斉藤栄一,－,1982.09,1983.01,－
76,せろよんきゆうた/ゼロヨンQ太,いけた しゆんいち/池田淳一,－,1982.09,1985.03,－
77,くわんはるてんか/ぐゎんばる殿下,たなか みちあき/田中道明,－,1982.10,1985.12,－
78,ふりんすめろん/ぷりんすメロン,よしかわ すすむ/よしかわ進,－,1982.12,1983.01,－
79,おいらこえもん/おいらゴエモン,とりうみ ひろし/とりうみひろし,－,1983.01,1983.03,－
80,おまかせみすたあはあかあ/おまかせMr.バーガー,おおはやし かおる/大林かおる,－,1983.01,1983.03,－
81,ろおらあほりすたいようけいし/ローラーポリス太陽刑事,ほしの りゆういち/ほしの竜一,ふるさわ いつせい/古沢一誠,1983.01,1984.03,－
82,ひまてしよおまわりくん/ひまで署オマワリくん,はちの やすひこ/はちのやすひこ,－,1983.02,1986.06,－
83,あおそられえさあ/青空レーサー,ほそい ゆうし/細井雄二,かかみ しようし/鏡丈二,1983.04,1983.05,－
84,ふらもてんさいえすはあたろう/プラモ天才エスパー太郎,さいとう えいいち/斉藤栄一,－,1983.04,1984.08,－
85,くまくますんすん/クマクマずんずん,かたくら ようし/方倉陽二,－,1983.04,1985.01,－
86,かいとうひつかまん/怪盗ピッカマン,かつき かすよし/勝木一嘉,－,1983.05,1984.03,－
87,おとことらころう/男トラゴロウ,のむら しんほ/のむらしんぼ,－,1983.05,1984.09,－
88,さるとひさつかあ/さるとびサッカー,ますたに たけし/ますたにたけし,－,1983.06,1983.11,－
89,らしこんほおい/ラジコンボーイ,おおはやし かおる/大林かおる,－,1983.06,1989.12,－
90,あほけんしやつきい/あほ拳ジャッキー,せん きよし/ぜんきよし,－,1983.08,1987.03,－
91,とらえもんのひたのまかいたいほうけん/ドラえもん のび太の魔界大冒険,ふしこ ふしお/藤子不二雄,－,1983.09,1984.02,－
92,ふろれすけいしおやしへんけい/プロレス刑事おやじ弁慶,おうた こさく/桜多吾作,－,1983.09,1984.03,－
93,ふらもせんしいさむ/プラモ戦士イサム,いわた かすひさ/岩田和久,きした やすし/岸田靖,1983.10,1984.03,－
94,おれはてんへい/おれは天平,すかや みつる/すがやみつる,－,1984.01,1984.06,－
95,おれちよろしゆう/おれ!チョロ獣,かつき かすよし/勝木一嘉,－,1984.04,1984.11,『別冊コロコロコミック』から移動
96,さんていいこうしえんふらこんたいさく/3D甲子園 プラコン大作,たかや けんし/たかや健二,－,1984.04,1985.03,－
97,とらこんけん/ドラゴン拳,こはやし たつよし/小林たつよし,－,1984.04,1985.12,『別冊コロコロコミック』から移動
98,かんはれねつけつしようねんたん/がんばれ!熱血少年団,なかい のりあき/ながいのりあき,－,1984.05,1984.08,－
99,にんしやはつとりくんわしししまる/忍者ハットリくん ワシ獅子丸!!,ふしこ ふしお ええ/藤子不二雄Ⓐ,－,1984.05,1984.11,－
100,らしこんきやのんほおる/ラジコンキャノンボール,すかや みつる/すがやみつる,－,1984.07,1984.08,－
101,とらえもんのひたのりとるすたあうおおす/ドラえもん のび太の宇宙小戦争,ふしこ ふしお/藤子不二雄,－,1984.08,1985.01,－
102,かせきつと/風キッド,すかや みつる/すがやみつる,－,1984.09,1985.03,－
103,としらせんせえ/ドジラセンセー,なかい こう/永井豪,－,1984.10,1985.08,－
104,そいと/ゾイド,おち よしひこ/おちよしひこ,－,1984.11,1984.12,－
105,ううはあくん/ウーパーくん,あすか あきお/あすかあきお,－,1984.11,1984.12,－
106,とくたあこつくん/Dr.ゴックン,のむら しんほ/のむらしんぼ,－,1984.11,1985.02,－
107,かんはれきつかあす/がんばれ!キッカーズ,なかい のりあき/ながいのりあき,－,1984.11,1989.03,－
108,にんしやはつとりくんふらすはあまんにんしやかいしゆうしつほうたいみらくるたまこ/忍者ハットリくん+パーマン 忍者怪獣ジッポウVSミラクル卵,ふしこ ふしお/藤子不二雄,－,1984.12,1985.03,－
109,ちしようさいきようのおとこかくとうおう/地上最強の男 格闘王,はらた くにちか/原田久仁信,－,1985.03,1985.04,－
110,ふあみこんろつきい/ファミコンロッキー,あさい もとゆき/あさいもとゆき,－,1985.03,1987.09,－
111,たいようけんせろ/太陽犬ゼロ,むうねんへい/Moo.念平,－,1985.04,1985.12,－
112,ふろこるふああさる/プロゴルファー猿,ふしこ ふしお ええ/藤子不二雄Ⓐ,－,1985.04,1988.12,『別冊コロコロコミック』から移動
113,つるひかはけまる/つるピカハゲ丸,のむら しんほ/のむらしんぼ,－,1985.04,1994.01,『別冊コロコロコミック』に移動
114,しんせろよんきゅうた/新ゼロヨンQ太,いけた しゆんいち/池田淳一,－,1985.05,1985.07,－
115,さうるふ/ザ・ウルフ,たかや けんし/たかや健二,－,1985.05,1985.09,－
116,とらえもんのひたとてつしんへいたん/ドラえもん のび太と鉄人兵団,ふしこ ふしお/藤子不二雄,－,1985.08,1986.01,－
117,てつしんたろう/鉄人タロウ,たかや けんし/たかや健二,－,1986.01,1986.05,－
118,にくせんしふたまん/肉戦士ブタマン,たまい たけし/玉井たけし,－,1986.01,1986.05,－
119,ひけんてんせつししおうてん/秘拳伝説 獅子王伝,こはやし たつよし/小林たつよし,－,1986.02,1987.05,『別冊コロコロコミック』に完結編を掲載
120,ねつけつふあみこんしようねんたん/熱血!ファミコン少年団,さいとう はるお/さいとうはるお,－,1986.02,1987.10,－
121,あまいそたんこ/あまいぞ!男吾,むうねんへい/Moo.念平,－,1986.03,1992.09,1988.3までが小学生編、1988.6以降が中学生編
122,ねつきゆうきつす/熱球キッズ,いわた かすひさ/岩田和久,－,1986.04,1986.06,－
123,ふあみこんらんなあたかはしめいしんものかたり/ファミコンランナー高橋名人物語,かわい かすよし/河合一慶,－,1986.04,1988.02,－
124,ちひれすくん/チビレスくん,たけむら よしひこ/竹村よしひこ,－,1986.05,1986.07,－
125,めいけいさつけんはあなあ/迷けいさつ犬バーナー,かわい しゆんし/河合じゅんじ,－,1986.05,1986.07,－
126,おほつちやまくん/おぼっちゃまくん,こはやし よしのり/小林よしのり,－,1986.05,1994.09,－
127,はわああつふかくれきやらまん/パワーアップ かくれキャラマン,たなか みちあき/田中道明,－,1986.06,1986.07,－
128,らいしんしやつく/雷神ジャック,いしかわ もりひこ/石川森彦,あかね こか/あかねこか,1986.07,1986.12,－
129,さいほおい/サイボーイ,うちやま まもる/内山まもる,くとう かすや/工藤かずや,1986.08,1986.12,－
130,まかいそんへえ/魔界ゾンべえ,たまい たけし/玉井たけし,－,1986.08,1988.05,－
131,あかひけしやれまる/赤ひげジャレ丸,たなか みちあき/田中道明,－,1986.09,1986.11,－
132,とらえもんのひたとりゆうのきし/ドラえもん のび太と竜の騎士,ふしこ ふしお/藤子不二雄,－,1986.11,1987.03,－
133,のんきくん/のんきくん,かたくら ようし/方倉陽二,－,1986.12,1988.09,－
134,ねつけんかんふうくらふ/熱拳カンフークラブ,うおと おさむ/魚戸おさむ,－,1987.01,1988.07,－
135,かつとひとうし/かっとび!童児,たかや けんし/たかや健二,ふるさわ いつせい/古沢一誠,1987.01,1990.01,1987.3までが第一部、1987.6以降が第二部
136,ひつくりまん/ビックリマン,たけむら よしひこ/竹村よしひこ,－,1987.01,1990.08,－
137,てかほつとBB/刑事ボット B.B,かしもと まなう/樫本学ヴ,－,1987.04,1987.06,－
138,えすはあまみ/エスパー魔美,ふしこ えふ ふしお/藤子・F・不二雄,－,1987.04,1988.04,－
139,かつとはせきよはらくん/かっとばせ!キヨハラくん,かわい しゆんし/河合じゅんじ,－,1987.06,1994.04,－
140,しようねんひつくりまんくらふ/少年ビックリマンクラブ,なかの ともひこ/なかのともひこ,－,1987.07,1988.09,－
141,かめんらいたあふらつく/仮面ライダーBLACK,こはやし たつよし/小林たつよし,いしのもり しようたろう/石ノ森章太郎,1987.10,1988.04,－
142,ころころこみつくまんかすくうる/コロコロコミックまんがスクール,しのた ひてお/しのだひでお,－,1987.11,1989.11,－
143,まんかちやれんし/まんがチャレンジ,しのた ひてお/しのだひでお,－,1987.11,1990.01,－
144,たつしゆよんくろう/ダッシュ!四駆郎,とくた さうるす/徳田ザウルス,－,1987.12,1991.04,1991.05からタイトルに『2』が追加
145,ほくらはとらこんしようねんたん/ぼくらはドラゴン少年団,かしもと まなう/樫本学ヴ,－,1988.01,1988.05,－
146,すけほおやろうあほろ/スケボー野郎 アポロ,あいかわ てつや/愛川てつや,ふるさわ いつせい/古沢一誠,1988.04,1989.03,－
147,とつこうそいとしようねんたい/特攻!!ゾイド少年隊,あおき たかお/青木たかお,－,1988.05,1989.04,『別冊コロコロコミック』から移動
148,にいはおきよんしいくん/你好キョンシーくん,さいとう えいいち/斉藤栄一,－,1988.05,1989.06,－
149,しんきてれつたいひやつか/新キテレツ大百科,たなか みちあき/田中道明,ふしこ えふ ふしお/藤子・F・不二雄,1988.05,1994.02,－
150,のほほんせんせい/のほほん先生,はちの やすひこ/はちのやすひこ,－,1988.06,1988.10,－
151,れいけんきよんへえ/霊幻キョンべえ,たまい たけし/玉井たけし,－,1988.07,1988.08,－
152,ひりけん/ビリ犬,ふしこ ふしお ええ/藤子不二雄Ⓐ,－,1988.07,1989.10,－
153,かんはれくわたくん/がんばれ!クワタくん,かわい しゆんし/河合じゅんじ,－,1988.08,1990.04,－
154,とらえもんのひたのにつほんたんしよう/ドラえもん のび太の日本誕生,ふしこ えふ ふしお/藤子・F・不二雄,－,1988.10,1989.03,－
155,うるとらかいしゆうかつとひらんと/ウルトラ怪獣かっとび!ランド,たまい たけし/玉井たけし,－,1988.10,1993.04,－
156,りとるこつふ/リトルコップ,こはやし たつよし/小林たつよし,－,1988.11,1991.04,－
157,それゆけたんこしゆく/それゆけ!男吾塾,むうねんへい/Moo.念平,－,1988.12,1992.06,－
158,うるとらかいしゆうよんこまおおわらいしよお/ウルトラ怪獣 4コマ大笑いショー,たまい たけし/玉井たけし,－,1989.03,1989.11,－
159,きみはおはきつとをみたか/君はオバキッドを見たか?!,たなか みちあき/田中道明,－,1989.04,1989.07,－
160,はくそうたつしゆくらふ/爆走!ダッシュクラブ,かしもと まなう/樫本学ヴ,－,1989.04,1989.12,－
161,さいきつとなそまる/サイキッド謎丸,かわい かすよし/河合一慶,－,1989.04,1990.08,－
162,こおこおみによんふあいたあ/GO!GO!ミニ四ファイター,おち よしひこ/おちよしひこ,－,1989.04,1991.04,－
163,とんまいこうしえん/ドンマイ甲子園,なかい のりあき/ながいのりあき,－,1989.05,1989.10,－
164,とらえもんひやつか/ドラえもん百科,にした まさき/西田真基,－,1989.07,1990.04,－
165,まかいとつにゆうらいおうまるものかたり/魔界突入!!雷王丸物語,あおき たかお/青木たかお,みすたに けんのすけ/水谷謙之介,1989.08,1990.01,途中で『魔神英雄伝ワタル外伝 魔界突入物語』に改題
166,とらえもんのひたとあにまるふらねつと/ドラえもん のび太とアニマル惑星,ふしこ えふ ふしお/藤子・F・不二雄,－,1989.10,1990.03,－
167,ほのおのとうきゆうしとつしたんへい/炎の闘球児 ドッジ弾平,こした てつひろ/こしたてつひろ,－,1989.11,1995.06,－
168,うるとらかいしゆうかつとひらんとうるとらこいんてんせつ/ウルトラ怪獣かっとび!ランド ウルトラコイン伝説,たまい たけし/玉井たけし,－,1989.12,1990.01,－
169,とつけきけえむほおい/突撃!ゲームボーイ,こいし さとし/こいしさとし,－,1989.12,1990.10,連載初期は「小石諭」表記だった。
170,こみつくうおおす/コミックウォーズ,あすか あきお/あすかあきお,いとう せいこう/いとうせいこう （企画・構成）,1990.02,1990.11,読者参加型の企画漫画
171,ましんえいゆうてんわたる2ましんかいはつたいけつせん/魔神英雄伝ワタル2 魔神開発大決戦,あおき たかお/青木たかお,－,1990.02,1991.01,－
172,それゆけけえむほおいたんけんたい/それゆけ!ゲームボーイ探検隊,たていし けいた/立石佳太,－,1990.02,1991.04,－
